product_id,winsorize,features,RMSE,MAPE,Overfit_Score,method
P12,False,"RohCOPPER1000_org, MAB_ELE_PRO156",127020.21984001089,0.4842921678189294,,walkforward
P12,False,"PRI27840_org, RohCOPPER1000_org, MAB_ELE_PRO156",123297.48045401198,0.47731696144847546,,walkforward
P13,True,MAB_ELE_PRO756,14235.28973006726,0.789718683426315,,walkforward
P13,True,PRO27756_org,13862.395299668142,0.7228971546557078,,walkforward
P13,True,MAB_ELE_PRO276,17064.684014816245,0.855392858299278,,walkforward
P13,True,PRI27840_org,15696.424044719508,0.8305705641189794,,walkforward
P13,True,"MAB_ELE_PRO756, PRO27756_org",14145.575055169204,0.7406606230625759,,walkforward
P13,True,"MAB_ELE_PRO756, MAB_ELE_PRO276",16097.524494475916,0.8864228960036268,,walkforward
P13,True,"MAB_ELE_PRO756, PRI27840_org",16006.012632864344,0.6625442530077181,,walkforward
P13,True,"PRO27756_org, MAB_ELE_PRO276",16085.345414863736,0.8526311943608323,,walkforward
P13,True,"PRO27756_org, PRI27840_org",14891.555330406265,0.7894020900527664,,walkforward
P13,True,"MAB_ELE_PRO276, PRI27840_org",20679.965298324656,0.9397793125349779,,walkforward
P13,True,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276",16846.43980314019,0.8552737208891196,,walkforward
P13,True,"MAB_ELE_PRO756, PRO27756_org, PRI27840_org",16071.55334734892,0.8378263212304831,,walkforward
P13,True,"MAB_ELE_PRO756, MAB_ELE_PRO276, PRI27840_org",19836.674082863246,0.7628978522723171,,walkforward
P13,True,"PRO27756_org, MAB_ELE_PRO276, PRI27840_org",18553.63369345907,0.873397353729243,,walkforward
P13,True,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276, PRI27840_org",19779.34410593591,0.9911366309993489,,walkforward
P13,False,MAB_ELE_PRO756,14243.65550489452,0.7889446079676892,,walkforward
P13,False,PRO27756_org,13888.691136855403,0.7234819888121804,,walkforward
P13,False,MAB_ELE_PRO276,17072.14105696875,0.8558299035957144,,walkforward
P13,False,PRI27840_org,15710.867602665418,0.8323438372487887,,walkforward
P13,False,"MAB_ELE_PRO756, PRO27756_org",14134.977567692136,0.7395311664009777,,walkforward
P13,False,"MAB_ELE_PRO756, MAB_ELE_PRO276",16089.02898439021,0.8857356797914642,,walkforward
P13,False,"MAB_ELE_PRO756, PRI27840_org",16023.455724405343,0.6627613678786506,,walkforward
P13,False,"PRO27756_org, MAB_ELE_PRO276",16016.373756374633,0.8481930606114608,,walkforward
P13,False,"PRO27756_org, PRI27840_org",14919.751476447915,0.7899853630062816,,walkforward
P13,False,"MAB_ELE_PRO276, PRI27840_org",20623.186153064886,0.9381696842983793,,walkforward
P13,False,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276",16823.284335677803,0.8540607433631603,,walkforward
P13,False,"MAB_ELE_PRO756, PRO27756_org, PRI27840_org",16089.781808814916,0.8378243528047163,,walkforward
P13,False,"MAB_ELE_PRO756, MAB_ELE_PRO276, PRI27840_org",19828.417950578827,0.7619366580378244,,walkforward
P13,False,"PRO27756_org, MAB_ELE_PRO276, PRI27840_org",18536.536822522645,0.8728554528908733,,walkforward
P13,False,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276, PRI27840_org",19793.405395388465,0.9921011203513073,,walkforward
P14,True,PRO27392_org,11195.204926918803,1.3784822370086813,,walkforward
P14,True,PRO28380_org,14120.510796227283,1.7342488283757211,,walkforward
P14,True,PRO27756_org,18659.528304966465,1.9946133684882226,,walkforward
P14,True,"PRO27392_org, PRO28380_org",11053.118999528504,1.4474590195818702,,walkforward
P14,True,"PRO27392_org, PRO27756_org",11733.514643914807,1.3735058915123253,,walkforward
P14,True,"PRO28380_org, PRO27756_org",14267.044118252254,1.6681460102948,,walkforward
P14,True,"PRO27392_org, PRO28380_org, PRO27756_org",11241.374796612205,1.4017233763380144,,walkforward
P14,False,PRO27392_org,10946.285228856297,1.4066882528814546,,walkforward
P14,False,PRO28380_org,13967.46802319865,1.7568512946109636,,walkforward
P14,False,PRO27756_org,18550.247370149285,2.022625695712647,,walkforward
P14,False,"PRO27392_org, PRO28380_org",10862.774807470123,1.4580390325977415,,walkforward
P14,False,"PRO27392_org, PRO27756_org",11345.385012329021,1.3812756041492011,,walkforward
P14,False,"PRO28380_org, PRO27756_org",14074.790905920772,1.7102026851385463,,walkforward
P14,False,"PRO27392_org, PRO28380_org, PRO27756_org",10966.819569113457,1.4162807891014144,,walkforward
P16,True,MAB_ELE_PRO756,116862.15815862396,0.9446764095396362,,walkforward
P16,True,PRO28276_org,170215.5702235957,1.236550593721148,,walkforward
P16,True,PRI27276_org,129560.5443346749,1.1365324227562374,,walkforward
P16,True,PRO28826_org,148716.3269591579,0.6869644726621875,,walkforward
P16,True,"MAB_ELE_PRO756, PRO28276_org",140698.47724704235,0.8572216559479864,,walkforward
P16,True,"MAB_ELE_PRO756, PRI27276_org",163496.64522648352,1.3336252814286211,,walkforward
P16,True,"MAB_ELE_PRO756, PRO28826_org",105075.4854275575,0.8087485220449941,,walkforward
P16,True,"PRO28276_org, PRI27276_org",167692.8366266162,1.2943489230091516,,walkforward
P16,True,"PRO28276_org, PRO28826_org",245777.84736598827,1.3155138911393576,,walkforward
P16,True,"PRI27276_org, PRO28826_org",137969.31238472334,1.2184832065410551,,walkforward
P16,True,"MAB_ELE_PRO756, PRO28276_org, PRI27276_org",176721.59337604023,1.118983464797468,,walkforward
P16,True,"MAB_ELE_PRO756, PRO28276_org, PRO28826_org",282749.0245055037,1.2548977841190818,,walkforward
P16,True,"MAB_ELE_PRO756, PRI27276_org, PRO28826_org",159936.1544988951,1.2767991432292332,,walkforward
P16,True,"PRO28276_org, PRI27276_org, PRO28826_org",327953.05734604446,2.0474547140010158,,walkforward
P16,True,"MAB_ELE_PRO756, PRO28276_org, PRI27276_org, PRO28826_org",331842.9499123773,1.8368190694515794,,walkforward
P16,False,MAB_ELE_PRO756,144862.65659177236,1.1073071095588605,,walkforward
